weights,buy_threshold,sell_threshold,weight_verified,weight_non_verified
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 0, 0, 1]",0.2,0.2,0.25,0.75
"[0, 1, 0, 0]",0.02016642472011909,-0.025762698797593075,0.9105724652559681,0.08942753474403187
"[0, 1, 0, 0]",0.02016642472011909,-0.025762698797593075,0.9105724652559681,0.08942753474403187
"[0, 1, 0, 0]",0.02016642472011909,-0.025762698797593075,0.9105724652559681,0.08942753474403187
"[0, 1, 0, 0]",0.02016642472011909,-0.025762698797593075,0.9105724652559681,0.08942753474403187
"[0, 1, 0, 0]",0.02016642472011909,-0.025762698797593075,0.9105724652559681,0.08942753474403187
"[0, 1, 0, 0]",0.02016642472011909,-0.025762698797593075,0.9105724652559681,0.08942753474403187
"[0, 1, 0, 0]",0.02016642472011909,-0.025762698797593075,0.9105724652559681,0.08942753474403187
"[0, 1, 0, 0]",0.02016642472011909,-0.025762698797593075,0.9105724652559681,0.08942753474403187
"[0, 1, 0, 0]",0.02016642472011909,-0.025762698797593075,0.9105724652559681,0.08942753474403187
"[1, 0, 0, 0]",0.5717873338793817,-0.07634481278489236,0.4102999105926032,0.5897000894073968
"[1, 0, 0, 0]",0.5717873338793817,-0.07634481278489236,0.4102999105926032,0.5897000894073968
"[1, 0, 0, 0]",0.5717873338793817,-0.07634481278489236,0.4102999105926032,0.5897000894073968
"[1, 0, 0, 0]",0.5717873338793817,-0.07634481278489236,0.4102999105926032,0.5897000894073968
"[1, 0, 0, 0]",0.5717873338793817,-0.07634481278489236,0.4102999105926032,0.5897000894073968
"[1, 0, 0, 0]",0.5717873338793817,-0.07634481278489236,0.4102999105926032,0.5897000894073968
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.026608390829502393,-0.016134208926982918,0.03252968035244719,0.9674703196475528
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.026608390829502393,-0.016134208926982918,0.03252968035244719,0.9674703196475528
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.026608390829502393,-0.016134208926982918,0.03252968035244719,0.9674703196475528
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.026608390829502393,-0.016134208926982918,0.03252968035244719,0.9674703196475528
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.026608390829502393,-0.016134208926982918,0.03252968035244719,0.9674703196475528
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.026608390829502393,-0.016134208926982918,0.03252968035244719,0.9674703196475528
"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",0.026608390829502393,-0.016134208926982918,0.03252968035244719,0.9674703196475528
"[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]",0.22003067819805155,-0.3184114702366555,0.1711914482635286,0.8288085517364714
"[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]",0.22003067819805155,-0.3184114702366555,0.1711914482635286,0.8288085517364714
"[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]",0.22003067819805155,-0.3184114702366555,0.1711914482635286,0.8288085517364714
"[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]",0.22003067819805155,-0.3184114702366555,0.1711914482635286,0.8288085517364714
"[0, 0, 1, 0]",0.12039620704041365,-0.005118986232589662,0.861905101880393,0.13809489811960696
"[0, 0, 1, 0]",0.12039620704041365,-0.005118986232589662,0.861905101880393,0.13809489811960696
"[0, 0, 1, 0]",0.12039620704041365,-0.005118986232589662,0.861905101880393,0.13809489811960696
"[0, 0, 1, 0]",0.12039620704041365,-0.005118986232589662,0.861905101880393,0.13809489811960696
"[0, 0, 1, 0]",0.12039620704041365,-0.005118986232589662,0.861905101880393,0.13809489811960696
"[0, 0, 1, 0]",0.12039620704041365,-0.005118986232589662,0.861905101880393,0.13809489811960696
"[0, 0, 1, 0]",0.12039620704041365,-0.005118986232589662,0.861905101880393,0.13809489811960696
"[0, 0, 1, 0]",0.12039620704041365,-0.005118986232589662,0.861905101880393,0.13809489811960696
"[0, 1, 0, 0]",0.0049713705172419465,-0.022707943537497055,0.025039621125849343,0.9749603788741507
"[0, 1, 0, 0]",0.0049713705172419465,-0.022707943537497055,0.025039621125849343,0.9749603788741507
"[0, 1, 0, 0]",0.0049713705172419465,-0.022707943537497055,0.025039621125849343,0.9749603788741507
"[0, 1, 0, 0]",0.0049713705172419465,-0.022707943537497055,0.025039621125849343,0.9749603788741507
"[0, 1, 0, 0]",0.0049713705172419465,-0.022707943537497055,0.025039621125849343,0.9749603788741507
"[0, 1, 0, 0]",0.0049713705172419465,-0.022707943537497055,0.025039621125849343,0.9749603788741507
"[0, 0, 0, 1]",0.5686685792842091,-0.49660374592339085,0.7444588963233358,0.25554110367666416
"[0, 0, 0, 1]",0.5686685792842091,-0.49660374592339085,0.7444588963233358,0.25554110367666416
"[0, 0, 0, 1]",0.5686685792842091,-0.49660374592339085,0.7444588963233358,0.25554110367666416
